Wines,Reviews,Rating,Keywords_count
'Giulio Ferrari' Riserva del Fondatore,12592,4.6,2
123 Brunello di Montalcino Riserva,525,4.4,1
1694 Classification Red,1841,4.5,1
25 anni Montefalco Sagrantino,5419,4.3,2
30 Year Old Tawny Port,602,4.4,1
40 Anos Tawny Port,57,4.6,1
40 Years Old Tawny Port,357,4.4,1
5 Puttonyos Aszú (Blue Label),11106,4.4,5
5 Stelle Sfursat,10740,4.5,1
50 & 50,9157,4.4,2
50 Old Vines Vecchie Vigne Negroamaro,510,4.4,1
6 Anime Puglia Rosso,2476,4.3,2
60 Sessantanni Old Vines Primitivo di Manduria,94289,4.5,2
80 Vecchie Vigne Primitivo di Manduria Old Vines,2476,4.4,1
802.A Superblend,66,4.5,1
888 Pinotage Gold,234,4.6,1
A50 Amarone della Valpolicella,100,4.6,1
ARTEMIS Cabernet Sauvignon,81351,4.4,5
Aconcagua Valley,18482,4.5,5
Adrianna Vineyard Fortuna Terrae Malbec,2589,4.5,3
Adrianna Vineyard Mundus Bacillus Terrae Malbec,1358,4.6,3
Ai Suma Barbera d'Asti,3012,4.4,1
Aile d'Argent Blanc Bordeaux,4790,4.2,3
Alabaster,2708,4.6,1
Alexander Valley Cabernet Sauvignon,46066,4.4,6
Almaviva,48075,4.6,5
Alpine Hillside Pinot Noir,46,4.5,1
Altagracia Cabernet Sauvignon,3083,4.4,2
Altero Brunello di Montalcino,4620,4.4,2
Altura,2733,4.5,1
Altura Máxima Malbec,2168,4.4,1
Alàuda,670,4.5,1
Amancio,2076,4.5,1
Amarone Classico Monte Danieli,504,4.4,1
Amarone Della Valpolicella Marta Galli,1085,4.2,2
Amarone Senza Titolo,225,4.5,1
Amarone della Valpolicella,4689,4.3,3
Amarone della Valpolicella Classico,27794,4.3,6
Amarone della Valpolicella Classico Mater,739,4.5,2
Amarone della Valpolicella Classico Riserva (Sergio Zenato),9963,4.5,4
Amarone della Valpolicella Monte Lodoletta,7947,4.7,5
Amarone della Valpolicella Riserva,958,4.4,1
Amarone della Valpolicella Vigna Garzon,4227,4.4,2
Amaya Arzuaga (Colección),1179,4.3,1
Amour de Deutz Millesimé Rosé Brut Champagne,536,4.5,2
Amour de Deutz Millésimé Brut Champagne,5532,4.5,2
Ampio,481,4.6,1
Annunziata Barolo Riserva,138,4.4,2
Aphrodite,367,4.4,2
Aquilon Garnacha,1343,4.6,2
Arborina Barolo,2527,4.4,3
Ares,1995,4.4,2
Asili Barbaresco Vecchie Viti,668,4.4,1
Aszú 6 puttonyos,2450,4.5,1
Aszú Eszencia,283,4.5,1
Attunga 1865 Shiraz,371,4.4,2
Au Paradis Cabernet Sauvignon,3004,4.6,2
Avizoise Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize',1278,4.4,1
