wines_name,countries_name,nbr_of_vintage,wines_rating_count,wines_rating_avg
St. Henri Shiraz,Australie,2,17326,4.4
Tenuta Tignanello 'Solaia',Italie,8,33143,4.6
Tignanello,Italie,16,142513,4.5
Tenuta Guado al Tasso Bolgheri Superiore,Italie,4,33392,4.5
Pian delle Vigne Brunello di Montalcino,Italie,2,31363,4.3
Castello della Sala Cervaro della Sala,Italie,3,30203,4.4
Chardonnay,États-Unis,1,18694,4.3
Amarone della Valpolicella Classico,Italie,3,18720,4.4
Nicolás Catena Zapata,Argentine,1,28227,4.4
Malbec Argentino,Argentine,1,47435,4.4
Monte Bello,États-Unis,1,11978,4.5
Cabernet Sauvignon (Signature),États-Unis,1,13730,4.6
Pauillac (Premier Grand Cru Classé),France,19,39283,4.6
Almaviva,Chili,3,48075,4.6
Mille E Una Notte,Italie,1,15865,4.3
Overture,États-Unis,1,16804,4.5
Sassicaia,Italie,25,107646,4.6
Rutherford,États-Unis,3,16322,4.6
Chateau Buena Vista Cabernet Sauvignon Napa Valley,États-Unis,1,13415,4.3
Pavillon Rouge du Château Margaux,France,1,16401,4.4
Papillon,États-Unis,2,30682,4.5
Amarone della Valpolicella Classico,Italie,1,77515,4.3
Gran Reserva 890,Espagne,1,11347,4.5
Amarone della Valpolicella Classico,Italie,2,27794,4.3
Brut Cuvée Champagne Rosé,France,1,36681,4.4
Grand Vin de Château Palmer (Grand Cru Classé),France,8,29026,4.5
Brunello di Montalcino,Italie,5,25989,4.4
Tenuta Nuova Brunello di Montalcino,Italie,5,20934,4.5
Dominus (Christian Moueix),États-Unis,1,22117,4.5
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,9,22896,4.6
Hermitage La Chapelle Rouge,France,1,15298,4.3
Castillo Ygay Gran Reserva Especial Tinto,Espagne,1,23170,4.5
Malleolus,Espagne,1,34630,4.3
60 Sessantanni Old Vines Primitivo di Manduria,Italie,2,94289,4.5
Ribera del Duero Reserva,Espagne,2,37394,4.3
Amarone della Valpolicella Classico,Italie,2,48329,4.4
Clos Apalta,Chili,2,23256,4.6
Montepulciano d'Abruzzo,Italie,2,10110,4.2
Pauillac (Grand Cru Classé),France,5,47234,4.4
Bricco dell'Uccellone Barbera d'Asti,Italie,1,17625,4.3
Paleo Rosso,Italie,2,10940,4.4
Malbec,Argentine,1,33640,4.2
Cabernet Sauvignon,États-Unis,2,28544,4.4
Insignia,États-Unis,4,30674,4.6
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,4,24916,4.4
Pessac-Léognan (Grand Cru Classé de Graves),France,2,25444,4.3
Châteauneuf-du-Pape,France,1,13917,4.2
Pomerol,France,1,11645,4.2
La Grande Année Brut Champagne,France,2,24646,4.5
Costasera Amarone della Valpolicella Classico,Italie,2,93397,4.3
Bolgheri Superiore,Italie,26,47939,4.6
Le Serre Nuove,Italie,1,50411,4.3
Saint-Julien (Grand Cru Classé),France,1,37174,4.3
Flaccianello della Pieve,Italie,5,21518,4.5
Carruades de Lafite Pauillac,France,4,13866,4.4
Aconcagua Valley,Chili,5,18482,4.5
5 Stelle Sfursat,Italie,4,10740,4.5
Saint-Julien (Grand Cru Classé),France,5,29317,4.4
Barbaresco,Italie,16,24516,4.5
Dagromis Barolo,Italie,1,20685,4.3
Sperss Barolo,Italie,11,10950,4.6
Cabernet Sauvignon,États-Unis,1,157944,4.6
Special Selection Cabernet Sauvignon,États-Unis,2,41236,4.7
Cabernet - Cabernet,Argentine,2,27436,4.3
Cristal Brut Champagne (Millésimé),France,7,42456,4.6
Cos d'Estournel,France,6,43704,4.4
Quinta da Leda Douro,Portugal,1,14197,4.4
Belondrade y Lurton,Espagne,1,13567,4.4
Unico Reserva Especial Edición,Espagne,1,13025,4.7
Unico,Espagne,3,45140,4.7
Ribera del Duero,Espagne,1,69278,4.5
Toro,Espagne,2,60705,4.4
Cepparello Red,Italie,2,12191,4.3
Belle Epoque Brut Champagne,France,2,20992,4.5
Pauillac (Grand Cru Classé),France,3,55808,4.4
Saint-Julien (Grand Cru Classé),France,2,32627,4.3
Vintage,France,3,16918,4.6
Pauillac (Grand Cru Classé),France,4,37460,4.4
Flor de Pingus,Espagne,2,32932,4.5
La Grande Dame Brut Champagne,France,1,17474,4.5
Saint-Estèphe (Grand Cru Classé),France,4,35624,4.3
Saint-Julien (Grand Cru Classé),France,6,28094,4.4
Pomerol,France,3,10374,4.4
Turriga Isola dei Nuraghi,Italie,1,14641,4.4
Pessac-Léognan (Grand Cru Classé de Graves),France,3,27316,4.4
Saffredi,Italie,2,10499,4.4
Corton-Charlemagne Grand Cru,France,3,10296,4.4
Luce,Italie,3,17470,4.4
Valpolicella Classico Superiore,Italie,2,12262,4.5
Brut Champagne,France,5,146377,4.6
Bolgheri Superiore,Italie,2,14242,4.3
Valpolicella Superiore Monte Lodoletta,Italie,5,13024,4.5
Pomerol,France,1,11885,4.3
Rioja Reserva,Espagne,1,13544,4.4
Pomerol,France,2,13504,4.4
Pomerol,France,6,12214,4.5
FAY Cabernet Sauvignon,États-Unis,1,10840,4.5
ARTEMIS Cabernet Sauvignon,États-Unis,1,81351,4.4
Saint-Julien (Grand Cru Classé),France,2,33618,4.3
Pauillac (Grand Cru Classé),France,3,39731,4.4
Château Margaux (Premier Grand Cru Classé),France,14,45350,4.6
Old Vines Primitivo di Manduria,Italie,1,20904,4.4
Châteauneuf-du-Pape,France,5,38998,4.4
Sauternes (Premier Grand Cru Classé),France,2,19239,4.4
Alexander Valley Cabernet Sauvignon,États-Unis,1,46066,4.4
One Point Five Cabernet Sauvignon,États-Unis,1,16341,4.5
Grange,Australie,4,24356,4.7
Comtes de Champagne Blanc de Blancs,France,2,27449,4.5
Georges De Latour Private Reserve Cabernet Sauvignon,États-Unis,2,12652,4.4
Tinto,Espagne,1,65625,4.4
Brut Rosé Champagne,France,1,21147,4.4
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,11,28198,4.6
Pessac-Léognan (Premier Grand Cru Classé),France,15,39605,4.6
Gran Corte (VII),Argentine,1,15016,4.4
Gran Malbec (X),Argentine,1,12579,4.3
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,1,17090,4.3
Sauternes,France,9,44126,4.7
Pieve Santa Restituta Brunello di Montalcino,Italie,2,21867,4.4
Oreno Toscana,Italie,1,12407,4.3
Pomerol,France,6,32157,4.7
Margaux (Grand Cru Classé),France,1,15699,4.2
Isosceles,États-Unis,1,18920,4.5
San Vicente Rioja,Espagne,1,10701,4.3
Sauternes (Premier Grand Cru Classé),France,2,17293,4.3
Valbuena 5º,Espagne,2,72784,4.6
Ben Ryé Passito di Pantelleria,Italie,1,21351,4.5
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,7,15671,4.5
Dom Ruinart Blanc de Blancs Brut Champagne,France,1,18466,4.5
Barolo Riserva,Italie,1,12663,4.3
Brut Rosé Champagne,France,1,23241,4.4
Clio,Espagne,1,24553,4.5
Gran Enemigo,Argentine,1,18739,4.5
Bramare Malbec Uco Valley,Argentine,1,19752,4.4
Reserva Ribera del Duero,Espagne,1,11233,4.3
'Giulio Ferrari' Riserva del Fondatore,Italie,10,12592,4.6
Bolgheri Superiore Sondraia,Italie,1,12843,4.2
Roda I Reserva Rioja,Espagne,2,22749,4.4
Brunello di Montalcino,Italie,17,27452,4.5
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,1,10699,4.3
Pessac-Léognan (Grand Cru Classé de Graves),France,7,15975,4.5
Grand Vin Pauillac (Premier Grand Cru Classé),France,10,38521,4.6
Il Pino di Biserno,Italie,2,17566,4.3
Pauillac (Premier Grand Cru Classé),France,10,73615,4.6
Sir Winston Churchill Brut Champagne,France,1,12873,4.6
Kurni Marche,Italie,1,10261,4.6
5 Puttonyos Aszú (Blue Label),Hongrie,1,11106,4.4
Esporão Private Selection Tinto,Portugal,1,12566,4.3
Evenstad Reserve Pinot Noir,États-Unis,1,11531,4.4
Opus One,États-Unis,6,77053,4.6
Macán Clásico,Espagne,1,16525,4.3
Mendoza,Argentine,2,19849,4.4
Vin de Constance (Natural Sweet),Afrique du Sud,1,13210,4.6
Macán,Espagne,1,14368,4.4
Brut Rosé Champagne,France,1,13747,4.6
Memorias,Chili,1,15980,4.3
Fusion V,Afrique du Sud,1,12877,4.4
Toscana,Italie,24,16284,4.7
La Piu Belle,Chili,1,13420,4.6
Eight Years In The Desert,États-Unis,1,27195,4.4
Guerriero della Terra,Italie,2,10185,4.4
Grande Cuvée,France,1,28513,4.6
