wines_name,country,wines_rating_count,vintages_rating_avg,wines_rating_avg
Fratini Bolgheri Superiore,Italie,153,0.0,4.8
Amarone della Valpolicella Classico Riserva,Italie,587,0.0,4.8
Veneto Alzero Cabernet,Italie,13000,4.74,4.7
Toscana,Italie,411360,4.658064516129032,4.645161290322581
Recioto della Valpolicella Classico,Italie,2090,2.35,4.7
Permassimo,Italie,186,4.6,4.7
La Mattonara Amarone della Valpolicella Classico Riserva,Italie,1196,4.6,4.7
Harlequin,Italie,2552,4.6,4.7
Fieramonte Amarone della Valpolicella Riserva,Italie,630,2.35,4.7
De Buris Amarone della Valpolicella Classico Riserva,Italie,1148,4.6,4.7
Cerretalto Brunello di Montalcino,Italie,32238,4.683333333333334,4.7
Barolo Riserva Monfortino,Italie,10026,4.6,4.7
Amarone della Valpolicella Monte Lodoletta,Italie,103311,4.3307692307692305,4.7
Vin Santo di Montepulciano,Italie,5411,0.0,4.6
Veneto Rosso del Bepi,Italie,11241,3.0,4.6
Tenuta Tignanello 'Solaia',Italie,265144,4.675,4.6
Tenuta Guado al Tasso Matarocchio,Italie,3750,4.7,4.6
Sperss Barolo,Italie,120450,4.581818181818182,4.6
Sorì Tildìn (Barbaresco) Langhe,Italie,35595,3.566666666666666,4.6
Sorì San Lorenzo,Italie,30856,3.425,4.6
Secentenario,Italie,96,4.6,4.6
Sassicaia,Italie,2691150,4.22,4.6
Recioto della Valpolicella (Monte Lodoletta),Italie,681,1.5666666666666667,4.6
Perpiero,Italie,351,4.7,4.6
Octavius Amarone della Valpolicella Riserva,Italie,450,0.0,4.6
Nettare Veneto Bianco,Italie,261,1.5999999999999999,4.6
Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore,Italie,94,0.0,4.6
Millecento Brunello di Montalcino Riserva,Italie,2728,4.55,4.6
Lodovico,Italie,27020,4.642857142857143,4.6
L'Amarone del Maestro Fornaser,Italie,1031,0.0,4.6
Kurni Marche,Italie,10261,4.5,4.6
Grande Cuvée Luigi Moio,Italie,240,1.5333333333333332,4.6
Glesie Climat,Italie,74,0.0,4.6
Falletto Barolo Le Rocche del Falletto Riserva,Italie,4354,3.3,4.6
Dieci Brunello di Montalcino,Italie,43,4.6,4.6
Croce Del Gal Riserva Amarone della Valpolicella Classico,Italie,188,0.0,4.6
Costa Russi (Barbaresco) Langhe,Italie,23008,4.05,4.6
Campo del Titari Amarone della Valpolicella Classico Riserva,Italie,2946,4.6,4.6
Campo Inferi Amarone della Valpolicella Classico Riserva,Italie,6336,4.633333333333333,4.6
Calcarole Amarone della Valpolicella Classico,Italie,2757,4.5,4.6
Bure Alto Amarone  della Valpolicella Classico Riserva,Italie,264,2.35,4.6
Brunello di Montalcino Riserva,Italie,78123,2.8113636363636365,4.493181818181818
Bolgheri Superiore,Italie,1283816,4.579310344827586,4.572413793103448
Bassolino di Sopra Brunello di Montalcino,Italie,348,4.55,4.6
Barolo Riserva Villero,Italie,803,4.6,4.6
Barolo Riserva Monprivato Cà d'Morissio,Italie,2352,4.625,4.6
Barolo Cerretta,Italie,3289,3.0,4.466666666666666
Barolo Arione,Italie,1036,3.4749999999999996,4.6
Ampio,Italie,481,4.6,4.6
Aegusa,Italie,162,0.0,4.6
A50 Amarone della Valpolicella,Italie,100,4.5,4.6
'Giulio Ferrari' Riserva del Fondatore,Italie,125920,4.14,4.6
Vite Talin Barolo,Italie,131,4.6,4.5
Vigna del Suolo Brunello di Montalcino,Italie,201,4.6,4.5
Vigna Grande Cerzito Taurasi Riserva,Italie,1162,4.5,4.5
Valpolicella Superiore Monte Lodoletta,Italie,65120,4.5,4.5
Valpolicella Classico Superiore,Italie,24524,2.2,4.5
Toscana Rosso,Italie,13995,4.56,4.5
Toscana Bianco,Italie,833,4.5,4.5
Tignanello,Italie,2280208,4.5375,4.5
Tenuta Nuova Brunello di Montalcino,Italie,104670,4.5,4.5
Tenuta Guado al Tasso Bolgheri Superiore,Italie,133568,3.325,4.5
Rujno Rosso,Italie,1596,1.5333333333333332,4.5
Rosso,Italie,176,2.25,4.5
Rocche dell'Annunziata Torriglione Barolo,Italie,1222,0.0,4.5
Rocche dell'Annunziata Barolo Riserva,Italie,1609,0.0,4.5
Rocche dell'Annunziata Barolo,Italie,436,0.0,4.5
Riserva vecchie viti dei Capalot e delle Brunate Barolo,Italie,338,4.7,4.5
Regina del Bosco R.Quarantottomesi,Italie,109,4.6,4.5
Redigaffi Toscana,Italie,72968,3.8714285714285714,4.5
Recioto della Valpolicella Classico Riserva,Italie,27,0.0,4.5
