wines_name,countries_name,vintages_count,wines_ratings_count,wines_ratings_count,wines_acidity
Mágico,Espagne,1,146,4.8,3.609973
Fratini Bolgheri Superiore,Italie,1,153,4.8,3.3064845
Cristal Rosé Vinothèque,France,1,88,4.8,4.5361114
Batard-Montrachet Grand Cru,France,1,34,4.8,3.2878573
Amarone della Valpolicella Classico Riserva,Italie,1,587,4.8,2.4278033
Échézeaux Grand Cru,France,1,359,4.7,4.273491
Zeltinger Sonnenuhr Beerenauslese,Allemagne,1,44,4.7,4.7252946
Veneto Alzero Cabernet,Italie,5,2600,4.7,2.300103
Unico Reserva Especial Edición,Espagne,1,13025,4.7,3.680081
Unico,Espagne,3,45140,4.7,3.7048488
Toscana,Italie,31,16284,4.7,3.1028588
The Laird,Australie,1,627,4.7,2.9231873
The Black Lion,Afrique du Sud,2,476,4.7,3.408501
Special Selection Cabernet Sauvignon,États-Unis,2,41236,4.7,3.3095143
Scharzhofberger Riesling Eiswein,Allemagne,1,30,4.7,
Sauternes,France,10,44126,4.7,4.338159
Romanée-Saint-Vivant Grand Cru (Marey-Monge),France,3,6597,4.7,4.108734
Recioto della Valpolicella Classico,Italie,2,1045,4.7,
Permassimo,Italie,1,186,4.7,3.5799327
P2 Plénitude Brut Champagne,France,2,7543,4.7,4.272861
Montrachet Grand Cru,France,4,516,4.7,3.2615967
Ligne de Crete Les Grandes Vignes Hermitage,France,2,76,4.7,3.6480408
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,France,3,9564,4.7,4.508223
La Vina de Corteo,Espagne,1,374,4.7,2.9370162
La Mattonara Amarone della Valpolicella Classico Riserva,Italie,1,1196,4.7,2.2975316
IX Estate Red,États-Unis,1,2810,4.7,3.8290682
Harlequin,Italie,2,1276,4.7,2.6530778
Harlan Estate Red,États-Unis,1,7231,4.7,3.8477607
Grange,Australie,4,24356,4.7,3.046586
Fieramonte Amarone della Valpolicella Riserva,Italie,2,315,4.7,2.3013904
Eszencia,Hongrie,1,488,4.7,
Don PX Convento Selección,Espagne,4,1224,4.7,2.2442873
De Buris Amarone della Valpolicella Classico Riserva,Italie,2,574,4.7,2.5711343
Cristal Vinothèque,France,2,426,4.7,4.4084377
Collection,France,3,2184,4.7,4.5422707
Clos du Mesnil,France,3,2471,4.7,4.546456
Châteauneuf-du-Pape,France,15,7544,4.7,3.0970612
Chambertin Grand Cru,France,8,3401,4.7,4.1259604
Cerretalto Brunello di Montalcino,Italie,6,5373,4.7,3.8362374
Book 17 XVII,Afrique du Sud,2,814,4.7,3.7373917
Barolo Riserva Monfortino,Italie,2,5013,4.7,4.513654
Amarone della Valpolicella Monte Lodoletta,Italie,13,7947,4.7,2.235851
Vosne-Romanée Premier Cru Aux Reignots,France,4,645,4.6,4.042153
Viña El Pison,Espagne,4,3027,4.6,3.2864294
Vintage Port Nacional,Portugal,1,1122,4.6,2.9584723
Vintage,France,3,16918,4.6,4.515321
Vin de Pays de l'Hérault Blanc,France,2,1209,4.6,3.0531123
Vin de Constance (Natural Sweet),Afrique du Sud,1,13210,4.6,4.958154
Vin Santo di Montepulciano,Italie,7,773,4.6,4.492628
Veneto Rosso del Bepi,Italie,3,3747,4.6,2.4586756
Valbuena 5º,Espagne,2,72784,4.6,3.6818671
VIK,Chili,2,8493,4.6,3.008086
Touran,Espagne,1,274,4.6,3.1344543
Tordiz 40 Year Old Tawny Port,Portugal,1,474,4.6,3.2046902
Tokaji Aszú 6 Puttonyos,Hongrie,2,2366,4.6,4.829434
The Journeyman,Afrique du Sud,1,231,4.6,3.6566563
Tenuta Tignanello 'Solaia',Italie,8,33143,4.6,3.0641637
Tenuta Guado al Tasso Matarocchio,Italie,2,1875,4.6,3.176831
Sperss Barolo,Italie,11,10950,4.6,4.666537
Sorì Tildìn (Barbaresco) Langhe,Italie,9,3955,4.6,4.7012973
Sorì San Lorenzo,Italie,8,3857,4.6,4.7262807
Sir Winston Churchill Brut Champagne,France,1,12873,4.6,4.4169583
Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger',France,1,34,4.6,4.9100003
Secentenario,Italie,1,96,4.6,2.7810295
Scharzhofberger Riesling Auslese,Allemagne,2,1666,4.6,4.5937014
Sassicaia,Italie,25,107646,4.6,3.488095
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,42,22896,4.6,3.382386
Saint-Émilion Grand Cru,France,11,5390,4.6,3.393447
Rutherford,États-Unis,3,16322,4.6,3.8225102
Rubicon,États-Unis,2,6421,4.6,3.8794467
Rosé,France,1,3605,4.6,4.410962
Reserve,États-Unis,3,1175,4.6,
Red,États-Unis,5,3639,4.6,3.5781045
Recioto della Valpolicella (Monte Lodoletta),Italie,3,227,4.6,
R.D Extra Brut Champagne (Récemment Dégorgé),France,3,7737,4.6,4.4763446
Quiñon de Valmira,Espagne,1,377,4.6,3.7825353
Pingus,Espagne,5,6013,4.6,3.801916
Pignan Châteauneuf-du-Pape Réserve Rouge,France,1,1881,4.6,3.0647666
Pessac-Léognan (Premier Grand Cru Classé),France,15,39605,4.6,4.228074
Perpiero,Italie,1,351,4.6,3.015028
Pauillac (Premier Grand Cru Classé),France,29,39283,4.6,4.117049
Palo Cortado Añada,Espagne,1,27,4.6,3.8064706
Opus One,États-Unis,6,77053,4.6,3.816858
Octavius Amarone della Valpolicella Riserva,Italie,1,450,4.6,2.1438131
Nosotros Single Vineyard Nómade,Argentine,1,9995,4.6,2.6501634
Nettare Veneto Bianco,Italie,3,87,4.6,3.0620143
Musigny Grand Cru (Cuveé Vieilles Vignes),France,3,3533,4.6,4.1379943
Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore,Italie,1,94,4.6,3.7857533
Montrachet Grand Cru Marquis de Laguiche,France,4,1970,4.6,3.1082401
Millecento Brunello di Montalcino Riserva,Italie,2,1364,4.6,3.8132358
Maya,États-Unis,2,1570,4.6,3.8841164
Malleolus de Sanchomartin,Espagne,1,3655,4.6,3.7755213
Lodovico,Italie,7,3860,4.6,2.989398
Lithology Cabernet Sauvignon,États-Unis,1,148,4.6,3.3221939
Les Riceys Cuvée Cyriès Brut Millesimé Champagne,France,1,43,4.6,4.4221816
Les Pavots,États-Unis,1,4010,4.6,3.7985215
La Piu Belle,Chili,1,13420,4.6,
La Nieta,Espagne,1,4508,4.6,3.6110392
La Joie,États-Unis,2,2285,4.6,3.8834448
La Grande Dame Brut Rosé Champagne,France,2,1118,4.6,4.4572988
La Faraona Bierzo (Corullón),Espagne,2,423,4.6,3.6081464
L'Hermitage,France,1,8592,4.6,3.5292687
L'Extravagant de Doisy-Daëne Sauternes,France,4,465,4.6,4.4039354
L'Amarone del Maestro Fornaser,Italie,1,1031,4.6,2.0171123
Kurni Marche,Italie,1,10261,4.6,3.0215945
