wine_name,sweetness,country_name,vintage_count,ratings_count
Vin Santo di Montepulciano,4.952543,Italie,7,773
St. Henri Shiraz,2.092192,Australie,2,17326
Siepi,1.807986,Italie,5,8129
Solare Toscana,1.7018968,Italie,1,4961
Tenuta Tignanello 'Solaia',1.8885487,Italie,8,33143
Tignanello,1.7224381,Italie,16,142513
Tenuta Guado al Tasso Bolgheri Superiore,1.733469,Italie,4,33392
Pian delle Vigne Brunello di Montalcino,1.6081825,Italie,2,31363
Castello della Sala Cervaro della Sala,2.3621032,Italie,3,30203
Castello della Sala Muffato della Sala,,Italie,1,6356
Chardonnay,2.2345717,États-Unis,1,18694
Amarone della Valpolicella Classico,3.125688,Italie,3,18720
Nicolás Catena Zapata,1.8266736,Argentine,1,28227
Malbec Argentino,2.0987563,Argentine,1,47435
Alàuda,2.1122599,Italie,1,670
Rioja 150 Aniversario,1.5425923,Espagne,1,4642
Puligny-Montrachet 1er Cru 'La Garenne',1.7384791,France,1,442
Monte Bello,1.7522715,États-Unis,1,11978
Cabernet Sauvignon (Signature),1.5901945,États-Unis,1,13730
Merlot (Signature),1.9690887,États-Unis,1,2312
Pauillac (Premier Grand Cru Classé),1.6689028,France,19,39283
Almaviva,1.8851886,Chili,3,48075
Mille E Una Notte,2.389165,Italie,1,15865
Overture,1.6481601,États-Unis,1,16804
Sassicaia,1.7056901,Italie,25,107646
Rutherford,1.6017184,États-Unis,3,16322
Chateau Buena Vista Cabernet Sauvignon Napa Valley,1.6918944,États-Unis,1,13415
Relentless,1.6779581,États-Unis,1,6633
Pavillon Rouge du Château Margaux,1.6214443,France,1,16401
Aphrodite,1.6931167,Australie,1,367
Les Pavots,1.7973351,États-Unis,1,4010
Toscana Batar,2.4811895,Italie,1,4187
Toscana Camartina,1.8209313,Italie,1,3673
Papillon,1.6881932,États-Unis,2,30682
Amarone della Valpolicella Classico,3.249773,Italie,1,77515
Barolo Bricco Rocche,1.5957669,Italie,5,2923
Barolo Prapò,1.5506328,Italie,1,2450
Barolo Brunate,1.640828,Italie,4,4295
Corton-Charlemagne Grand Cru,1.630509,France,3,5755
Romanée-Saint-Vivant Grand Cru Les Quatre Journaux,2.1831164,France,1,731
Torre Muga,1.7484478,Espagne,1,8767
Gran Reserva Ribera del Duero,1.7389879,Espagne,1,2777
Gran Reserva 890,1.7166057,Espagne,1,11347
IX Estate Red,1.8448794,États-Unis,1,2810
Lot 1,1.6270138,États-Unis,1,226
Amarone della Valpolicella Classico,3.279088,Italie,2,27794
Brut Cuvée Champagne Rosé,,France,1,36681
Barolo Bricco Gattera,1.6829987,Italie,1,2365
Barolo Enrico VI,1.6639124,Italie,3,3107
Grand Vin de Château Palmer (Grand Cru Classé),1.696457,France,8,29026
Brunello di Montalcino,1.7140387,Italie,5,25989
Pietradonice,1.8864819,Italie,2,2266
Tenuta Nuova Brunello di Montalcino,1.7909194,Italie,5,20934
Dominus (Christian Moueix),1.683546,États-Unis,1,22117
La Muse,1.6414376,États-Unis,1,1948
La Joie,1.6734424,États-Unis,2,2285
Le Désir,1.4755096,États-Unis,2,1694
Brunello di Montalcino,1.5376806,Italie,3,9171
Altero Brunello di Montalcino,1.5881945,Italie,3,4620
Brunello di Montalcino Riserva,1.5460424,Italie,2,1875
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1.7933086,France,9,22896
The Stork,1.9320465,Afrique du Sud,1,1638
Hermitage La Chapelle Rouge,1.6923082,France,1,15298
Castillo Ygay Gran Reserva Especial Tinto,1.7798774,Espagne,1,23170
Puligny-Montrachet Enseignères,1.5323689,France,1,941
Malleolus,1.8257612,Espagne,1,34630
Malleolus de Sanchomartin,1.8495954,Espagne,1,3655
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,3.2542012,Italie,1,4229
Toscana I Sodi di San Niccolo,1.7892258,Italie,2,8853
60 Sessantanni Old Vines Primitivo di Manduria,3.1701102,Italie,2,94289
Falletto Barolo,1.6808933,Italie,1,1760
Campo dei Gigli Amarone della Valpolicella,3.2375097,Italie,1,5050
Ribera del Duero Prestigio,2.0192058,Espagne,1,2994
Ribera del Duero Reserva,1.9142109,Espagne,2,37394
Amarone della Valpolicella Classico,3.3462367,Italie,2,48329
Clos Apalta,1.8053383,Chili,2,23256
Barolo Rocche,1.7726882,Italie,5,1615
Montepulciano d'Abruzzo,1.6370007,Italie,2,10110
Brunello di Montalcino Riserva,1.5762314,Italie,2,987
Pauillac (Grand Cru Classé),1.6716634,France,5,47234
Saint-Emilion Grand Cru (Premier Grand Cru Classé),2.0122817,France,2,1986
Les Bessards Hermitage,1.6643351,France,1,1515
Félix Callejo (Viñedos de la Familia),1.9716685,Espagne,2,1341
Bricco dell'Uccellone Barbera d'Asti,1.8737041,Italie,1,17625
Vürsù Barbaresco Starderi,1.6145903,Italie,3,4414
Vürsù Barbaresco Valeirano,1.6161648,Italie,1,3263
Blanc de Blancs Brut Champagne Grand Cru,,France,1,5553
Series C,1.7896918,Afrique du Sud,3,3027
Series M,1.752683,Afrique du Sud,4,2995
Paleo Rosso,1.8423529,Italie,2,10940
Messorio,1.9021307,Italie,9,5514
Scrio,1.7177784,Italie,2,2322
Malbec,2.1518486,Argentine,1,33640
Montrachet Grand Cru Blanc,1.7792037,France,1,700
Musigny Grand Cru,2.04695,France,1,739
Clos Saint Denis Grand Cru,2.0073063,France,2,474
Cabernet Sauvignon,1.6904904,États-Unis,2,28544
Insignia,1.7427489,États-Unis,4,30674
Barolo Sorì Ginestra,1.4964424,Italie,3,4827
Barolo Ginestra Vigna del Gris,1.5149696,Italie,1,3333
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1.6458696,France,4,24916
Barsac (Premier Grand Cru Classé),4.906155,France,4,6028
Galatrona,1.8441745,Italie,4,7971
Brunello di Montalcino,1.6867871,Italie,1,7929
Pessac-Léognan (Grand Cru Classé de Graves),1.6600603,France,2,25444
Chloe Chardonnay,2.8832428,États-Unis,1,458
Finn Pinot Noir,1.6306587,États-Unis,2,331
Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe,1.7966875,France,1,2077
Châteauneuf-du-Pape,1.5521207,France,1,13917
1694 Classification Red,1.5345964,Afrique du Sud,1,1841
Altura,1.7505343,Chili,1,2733
Pomerol,1.6605253,France,1,11645
Cirsion Rioja,1.9234011,Espagne,2,3474
Chardonnay,2.0542128,Afrique du Sud,3,1031
La Grande Année Brut Champagne,,France,2,24646
Big'd Big Barolo,1.6542184,Italie,1,1148
Vigna Cappella di S. Stefano Perno Barolo,1.5660388,Italie,2,2514
Amarone della Valpolicella,3.1827621,Italie,1,4689
Giramonte Toscana,2.2484422,Italie,1,1678
Costasera Amarone della Valpolicella Classico,3.2297275,Italie,2,93397
Campolongo di Torbe Amarone della Valpolicella Classico,3.2979991,Italie,3,4392
Brunello di Montalcino Riserva Vigna Paganelli,1.6121194,Italie,2,7123
Bolgheri Superiore,1.788846,Italie,26,47939
Le Serre Nuove,1.6401124,Italie,1,50411
Barolo Ginestra Casa Maté,1.7545748,Italie,1,4116
Il Bricco Barbaresco,1.5898534,Italie,1,2299
Ornato Barolo,1.5658007,Italie,2,5469
Saint-Julien (Grand Cru Classé),1.6682789,France,1,37174
Flaccianello della Pieve,1.7224033,Italie,5,21518
25 anni Montefalco Sagrantino,1.5398124,Italie,1,5419
Cuvée Annamaria Clementi (Extra Brut),,Italie,3,7928
Brunello di Montalcino,1.4268141,Italie,1,8875
Brunello di Montalcino,1.6429697,Italie,1,6683
Brunello di Montalcino,1.5521299,Italie,1,7546
Brunello di Montalcino Riserva,1.7106686,Italie,1,1665
Barolo Cannubi Boschis,1.7761469,Italie,1,4298
Barolo Le Vigne,1.6677053,Italie,2,5026
Carruades de Lafite Pauillac,1.6171026,France,4,13866
Beaune 1er Cru 'Clos des Mouches' Blanc,1.8163502,France,2,3093
Chambertin Clos de Bèze Grand Cru,1.8174781,France,1,331
