wines_name,sunrise
Vintage,"citrus,coffee,cream,green apple,toast"
Trebbiano d'Abruzzo,"citrus,coffee,cream,green apple,toast"
Sir Winston Churchill Brut Champagne,"citrus,coffee,cream,green apple,toast"
Sauternes (Premier Grand Cru Classé),"citrus,coffee,cream,green apple,toast"
Sauternes,"citrus,coffee,cream,green apple,toast"
R.D Extra Brut Champagne (Récemment Dégorgé),"citrus,coffee,cream,green apple,toast"
P2 Plénitude Brut Champagne,"citrus,coffee,cream,green apple,toast"
MV,"citrus,coffee,cream,green apple,toast"
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,"citrus,coffee,cream,green apple,toast"
La Grande Dame Brut Champagne,"citrus,coffee,cream,green apple,toast"
La Grande Année Brut Champagne,"citrus,coffee,cream,green apple,toast"
Grande Cuvée,"citrus,coffee,cream,green apple,toast"
Dom Ruinart Blanc de Blancs Brut Champagne,"citrus,coffee,cream,green apple,toast"
Cuvée des Enchanteleurs Brut Champagne,"citrus,coffee,cream,green apple,toast"
Cristal Brut Champagne (Millésimé),"citrus,coffee,cream,green apple,toast"
Comtes de Champagne Blanc de Blancs,"citrus,coffee,cream,green apple,toast"
Brut Champagne,"citrus,coffee,cream,green apple,toast"
Blanc des Millénaires,"citrus,coffee,cream,green apple,toast"
Belle Epoque Brut Champagne,"citrus,coffee,cream,green apple,toast"
