Country,Reviews,Rating,Tannin,Acidity,Vintage Rating,Keywords_count
'Giulio Ferrari' Riserva del Fondatore,12592,4.6,,3.3285792,4.14,2
110 e Lode Merlot,174,4.4,3.3302798,2.6912735,0.0,1
123 Brunello di Montalcino Riserva,525,4.4,3.6491272,3.8688908,0.0,6
1694 Classification Red,1841,4.5,3.1595838,3.0413423,4.5,8
25 anni Montefalco Sagrantino,5419,4.3,3.512506,3.1158633,4.4,9
30 Year Old Tawny Port,602,4.4,,2.9178329,4.4,1
40 Years Old Tawny Port,357,4.4,,3.147774,4.4,2
5 Puttonyos Aszú (Blue Label),11106,4.4,,4.947574,4.4,5
5 Stelle Sfursat,10740,4.5,4.336158,4.598433,4.4750000000000005,9
50 & 50,9157,4.4,3.1226244,3.2017627,4.433333333333334,8
50 Old Vines Vecchie Vigne Negroamaro,510,4.4,3.1225617,2.4967277,4.4,7
6 Anime Puglia Rosso,2476,4.3,2.6744978,2.135559,4.5,8
60 Sessantanni Old Vines Primitivo di Manduria,94289,4.5,2.2129438,1.789258,4.45,9
80 Vecchie Vigne Primitivo di Manduria Old Vines,2476,4.4,2.2367518,1.8199955,4.5,8
802.A Superblend,66,4.5,3.1516244,3.0317688,4.5,4
888 Pinotage Gold,234,4.6,2.963426,2.7733798,0.0,4
A50 Amarone della Valpolicella,100,4.6,1.8407408,2.0425925,4.5,1
ARTEMIS Cabernet Sauvignon,81351,4.4,3.286232,3.383825,4.5,9
Academia Purcari Rară Neagră,73,4.5,,,4.5,2
Aconcagua Valley,18482,4.5,3.5512285,3.1234899,4.460000000000001,9
Adrianna Vineyard Fortuna Terrae Malbec,2589,4.5,2.59951,2.870812,4.6,8
Adrianna Vineyard Mundus Bacillus Terrae Malbec,1358,4.6,2.6043994,2.8717265,4.566666666666666,8
Aegusa,81,4.6,,,0.0,1
Ai Suma Barbera d'Asti,3012,4.4,2.3706212,3.894353,4.5,8
Aile d'Argent Blanc Bordeaux,4790,4.2,,2.8267791,4.4,5
Alabaster,2708,4.6,3.296595,2.7305465,4.6499999999999995,8
Alexander Valley Cabernet Sauvignon,46066,4.4,3.3149757,2.9983644,4.5,9
Almaviva,48075,4.6,3.53141,3.0401866,4.533333333333333,9
Alpine Hillside Pinot Noir,46,4.5,2.0811193,3.6003733,0.0,4
Altagracia Cabernet Sauvignon,3083,4.4,3.5206296,3.505831,4.4,9
Altero Brunello di Montalcino,4620,4.4,3.517492,3.8212059,4.466666666666667,8
Altura,2733,4.5,3.4341447,3.0880187,4.6,7
Altura Máxima Malbec,2168,4.4,2.7976477,2.885381,4.5,9
Alàuda,670,4.5,3.036426,3.071004,0.0,8
Amancio,2076,4.5,3.8004334,3.690204,0.0,8
Amarone Classico Monte Danieli,504,4.4,2.4624083,2.4180279,4.5,5
Amarone Della Valpolicella Marta Galli,1085,4.2,2.1693032,2.306526,4.4,8
Amarone Senza Titolo,225,4.5,1.9685713,2.3472683,0.0,5
Amarone Stella,533,4.5,2.3210618,2.858761,3.0666666666666664,4
Amarone della Valpolicella,4689,4.3,2.2820804,2.3465822,2.575728155339806,9
Amarone della Valpolicella Classico,18720,4.4,2.3217719,2.3302438,3.8045454545454547,9
Amarone della Valpolicella Classico Mater,739,4.5,2.2984686,2.3198988,0.0,6
Amarone della Valpolicella Classico Riserva,587,4.8,2.327957,2.4278033,0.0,7
Amarone della Valpolicella Classico Riserva (Sergio Zenato),9963,4.5,2.303083,2.2202897,4.5249999999999995,9
Amarone della Valpolicella Monte Lodoletta,7947,4.7,2.4933603,2.235851,4.3307692307692305,9
Amarone della Valpolicella Riserva,958,4.4,2.2274282,2.49915,0.0,8
Amarone della Valpolicella Vigna Garzon,4227,4.4,2.3032715,2.3771174,4.4,9
Amaya Arzuaga (Colección),1179,4.3,3.3883185,3.6540797,4.5,7
Amour de Deutz Millesimé Rosé Brut Champagne,536,4.5,,4.309211,4.6,3
Amour de Deutz Millésimé Brut Champagne,5532,4.5,,4.2636185,4.55,2
Ampio,481,4.6,3.1249957,3.1355183,4.6,6
Annonciade Champagne,137,4.3,,4.438599,4.5,2
Annunziata Barolo Riserva,138,4.4,4.6669974,4.8139467,4.5,3
Aphrodite,367,4.4,3.4953165,3.537,0.0,8
Aquilon Garnacha,1343,4.6,2.9604108,3.093791,4.6,8
Arborina Barolo,2527,4.4,4.331842,4.596376,2.25,9
Arché,429,4.4,3.135536,2.9899054,4.5,3
Ares,1995,4.4,3.2092862,3.0160916,4.5,8
Asili Barbaresco Vecchie Viti,668,4.4,4.1181383,4.4989524,0.0,7
Aszú 6 puttonyos,2450,4.5,,4.8832455,4.4,3
Aszú Eszencia,283,4.5,,4.7944446,0.0,2
Attunga 1865 Shiraz,371,4.4,3.2360806,2.999023,0.0,8
Au Paradis Cabernet Sauvignon,3004,4.6,3.2170093,3.2921212,4.5,8
Avizoise Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize',1278,4.4,,4.6446457,0.0,2
B Bordicon Blend,1088,4.3,3.280962,3.685791,4.5,9
Baffonero Maremma Toscana,1682,4.5,3.180012,3.1772227,2.25,8
Barbaresco,24516,4.5,4.015384,4.6545653,4.54375,9
Barbaresco Albesani,183,4.5,4.0751266,4.6250806,4.5,2
Barbaresco Asili,710,4.4,4.14382,4.664794,0.0,5
Barbaresco Gaiun Martinenga,2298,4.3,4.05455,4.591956,4.4,8
Barbaresco Rabajà,5469,4.3,4.004881,4.594954,4.5,9
Barbera d'Alba Vigna Francia,7315,4.3,2.3515034,3.8663404,4.4,9
Barolo Arione,259,4.6,4.1590405,4.0684004,3.4749999999999996,5
Barolo Bricco Gattera,2365,4.4,4.3506813,4.5690866,4.5,9
Barolo Bricco Rocche,2923,4.4,4.3411164,4.663758,4.5,9
Barolo Brunate,4295,4.3,4.3491044,4.572561,4.440625,9
Barolo Bussia,4525,4.4,4.3328404,4.4169183,4.4,9
Barolo Bussia Cicala,3346,4.4,4.343274,4.518978,4.45,9
Barolo Bussia Romirasco,1544,4.5,4.434198,4.677045,0.0,9
Barolo Bussia Vigna Munie,141,4.4,4.291106,4.493274,0.0,6
Barolo Cannubi,1852,4.3,4.4622173,4.680343,4.4,9
Barolo Cannubi Boschis,4298,4.4,4.278373,4.490502,4.4,9
Barolo Cascina Francia,6045,4.5,4.3313737,4.5209603,4.5874999999999995,9
Barolo Cerequio,3839,4.3,4.4023557,4.5820665,4.4,9
Barolo Cerretta,1921,4.2,4.3894467,4.6620226,3.0875,9
Barolo Ciabot Mentin Ginestra,3525,4.3,4.4585395,4.607701,4.4,9
Barolo Enrico VI,3107,4.4,4.197519,4.4703164,2.9333333333333336,8
Barolo Ginestra Casa Maté,4116,4.4,4.269364,4.50987,4.4,9
Barolo Ginestra Vigna del Gris,3333,4.3,4.4271502,4.6171455,4.5,9
Barolo Le Vigne,5026,4.3,4.371829,4.557749,4.45,9
Barolo Monprivato,6966,4.4,4.265546,4.551566,4.514285714285714,9
Barolo Monvigliero,1163,4.2,4.4151855,4.5930014,4.5,9
Barolo Paiagallo,1917,4.3,4.4286523,4.470939,4.4,8
Barolo Prapò,2450,4.3,4.2461057,4.5526896,4.4,9
Barolo Riserva,12663,4.3,4.283502,4.5947633,2.7181818181818183,9
Barolo Riserva Bricco Boschis Vigna San Giuseppe,4030,4.3,4.4499836,4.575484,4.4,8
Barolo Riserva Cannubi 1752,451,4.5,4.3238544,4.2767024,0.0,7
Barolo Riserva Granbussia,1728,4.5,4.342974,4.5848675,4.6,8
Barolo Riserva Leon,948,4.4,4.4133496,4.65733,4.4,9
Barolo Riserva Monfortino,5013,4.7,4.350989,4.513654,4.6000000000000005,9
Barolo Riserva Monprivato Cà d'Morissio,588,4.6,4.506091,4.6706405,4.625,5
Barolo Riserva Vigna Rionda,3530,4.3,4.3764653,4.5637417,4.45,9
Barolo Riserva Villero,803,4.6,4.602165,4.699738,4.6,6
Barolo Rocche,1615,4.4,4.192189,4.443262,1.78,9
Barolo Rocche di Castiglione,1272,4.4,4.3769674,4.6330266,0.0,9
Barolo Sorì Ginestra,4827,4.3,4.4165354,4.607528,4.466666666666667,8
Baron de L Pouilly-Fumé,9002,4.4,,3.850036,4.4,5
Barrosu Cannonau di Sardegna Riserva Franzisca,794,4.4,3.0682156,3.1168516,4.5,4
Barsac (Premier Grand Cru Classé),6028,4.4,,4.358521,3.375,3
Barón de Chirel Rioja Reserva,8578,4.4,3.665263,3.5531914,4.5,8
Bassolino di Sopra Brunello di Montalcino,174,4.6,3.7133453,3.8497093,4.55,5
Beaune 1er Cru 'Clos des Mouches' Blanc,3093,4.4,,3.1847384,4.5,6
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,1557,4.6,3.3129437,3.356546,4.5,8
Belle Epoque Brut Champagne,20992,4.5,,4.3558774,4.4,6
Belles Soeurs Cuvée Pinot Noir,229,4.4,2.244193,3.9554749,4.5,7
Belondrade y Lurton,13567,4.4,,3.07816,4.4,6
Ben Ryé Passito di Pantelleria,21351,4.5,,,4.4,7
Beyond the Clouds,4760,4.4,,3.2295082,0.0,5
Bibbona,5981,4.5,3.022905,3.1019683,4.6,8
Bienvenues-Bâtard-Montrachet Grand Cru,480,4.5,,3.3403745,1.175,1
Big'd Big Barolo,1148,4.4,4.242019,4.5567408,0.0,9
Blanc,2053,4.3,,2.4751124,4.6,4
Blanc de Blancs Brut Champagne (Vintage),6400,4.3,,4.472281,4.4,5
Blanc de Blancs Brut Champagne Grand Cru,5553,4.4,,4.291068,4.4,1
Blanc des Millénaires,5581,4.6,,4.454617,4.4,4
Blueline Estate Cabernet Sauvignon,1321,4.5,3.4550798,3.3677397,4.5,9
Boal Madeira,1023,4.5,,4.0002613,4.6,4
Bolgheri Superiore,47939,4.6,3.8922803,3.4603708,4.579310344827586,9
Bolgheri Superiore Sondraia,12843,4.2,3.9485788,3.4810367,4.4,9
Bonnes Mares Grand Cru,452,4.4,2.7849274,4.127239,0.0,9
Bonnes-Mares Grand Cru,2595,4.5,2.7975812,4.1815014,1.125,9
Book 17 XVII,814,4.7,3.4206069,3.7373917,4.6,8
Bordeaux,2246,4.3,3.5683084,3.9396377,4.4,8
Bramare Malbec Uco Valley,19752,4.4,2.7679684,2.697112,4.5,9
Bramare Marchiori Vineyard Malbec,8713,4.5,2.5201719,2.6405706,0.0,8
Bric Dël Fiasc Barolo,4947,4.3,4.374409,4.6329103,4.45,9
Bricco dell'Uccellone Barbera d'Asti,17625,4.3,2.405632,3.8818424,4.4,9
Brunate  Barolo,1289,4.5,4.4732776,4.668839,2.25,9
Brunello di Montalcino,25989,4.4,3.5789404,3.8184934,4.103490136570562,9
Brunello di Montalcino  Montosoli,6176,4.4,3.6159627,3.9027393,4.433333333333334,9
Brunello di Montalcino Riserva,1875,4.5,3.4976366,3.8509295,2.8706319702602228,9
Brunello di Montalcino Riserva Madonna del Piano,3506,4.5,3.7303543,3.909161,4.6000000000000005,9
Brunello di Montalcino Riserva Pian di Conte,1118,4.3,3.500469,3.8143263,4.4,7
Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,1971,4.5,3.66428,3.9761274,4.5,9
Brunello di Montalcino Riserva Vigna Paganelli,7123,4.3,3.743623,3.8713474,4.4,9
Brut Champagne,146377,4.6,,4.3640895,4.58,9
