Wines,Rating,Reviews,Natural,Vintage Rating
'Giulio Ferrari' Riserva del Fondatore,4.6,12592,0,4.14
'Giulio Ferrari' Riserva del Fondatore Rosé,4.5,308,0,0.0
110 e Lode Merlot,4.4,174,0,0.0
123 Brunello di Montalcino Riserva,4.4,525,0,0.0
1694 Classification Red,4.5,1841,0,4.5
25 anni Montefalco Sagrantino,4.3,5419,0,4.4
30 Year Old Tawny Port,4.4,602,0,4.4
40 Anos Tawny Port,4.6,57,0,4.6
40 Years Old Port,4.5,37,0,4.5
40 Years Old Tawny Port,4.4,357,0,4.4
5 Puttonyos Aszú (Blue Label),4.4,11106,0,4.4
5 Stelle Sfursat,4.5,10740,0,4.475
50 & 50,4.4,9157,0,4.433333333333334
50 Old Vines Vecchie Vigne Negroamaro,4.4,510,0,4.4
6 Anime Puglia Rosso,4.3,2476,0,4.5
60 Sessantanni Old Vines Primitivo di Manduria,4.5,94289,0,4.45
80 Vecchie Vigne Primitivo di Manduria Old Vines,4.4,2476,0,4.5
802.A Superblend,4.5,66,0,4.5
888 Pinotage Gold,4.6,234,0,0.0
A50 Amarone della Valpolicella,4.6,100,0,4.5
ARTEMIS Cabernet Sauvignon,4.4,81351,0,4.5
Academia Purcari Rară Neagră,4.5,73,0,4.5
Aconcagua Valley,4.5,18482,0,4.46
Adrianna Vineyard Fortuna Terrae Malbec,4.5,2589,0,4.6
Adrianna Vineyard Mundus Bacillus Terrae Malbec,4.6,1358,0,4.566666666666666
Aegusa,4.6,81,0,0.0
Ai Suma Barbera d'Asti,4.4,3012,0,4.5
Aile d'Argent Blanc Bordeaux,4.2,4790,0,4.4
Alabaster,4.6,2708,0,4.65
Alexander Valley Cabernet Sauvignon,4.4,46066,0,4.5
Almaviva,4.6,48075,0,4.533333333333333
Alpine Hillside Pinot Noir,4.5,46,0,0.0
Altagracia Cabernet Sauvignon,4.4,3083,0,4.4
Altero Brunello di Montalcino,4.4,4620,0,4.466666666666667
Altura,4.5,2733,0,4.6
Altura Máxima Malbec,4.4,2168,0,4.5
Alàuda,4.5,670,0,0.0
Amancio,4.5,2076,0,0.0
Amarone Classico Monte Danieli,4.4,504,0,4.5
Amarone Della Valpolicella Marta Galli,4.2,1085,0,4.4
Amarone Senza Titolo,4.5,225,0,0.0
Amarone Stella,4.5,533,0,3.0666666666666664
Amarone della Valpolicella,4.4,2680,0,2.4555555555555557
Amarone della Valpolicella Classico,4.4,18720,0,3.7277777777777783
Amarone della Valpolicella Classico Mater,4.5,739,0,0.0
Amarone della Valpolicella Classico Riserva,4.8,587,0,0.0
Amarone della Valpolicella Classico Riserva (Sergio Zenato),4.5,9963,0,4.525
Amarone della Valpolicella Monte Lodoletta,4.7,7947,0,4.3307692307692305
Amarone della Valpolicella Riserva,4.4,958,0,0.0
Amarone della Valpolicella Vigna Garzon,4.4,4227,0,4.4
Amaya Arzuaga (Colección),4.3,1179,0,4.5
Amour de Deutz Millesimé Rosé Brut Champagne,4.5,536,0,4.6
Amour de Deutz Millésimé Brut Champagne,4.5,5532,0,4.55
Ampio,4.6,481,0,4.6
Annonciade Champagne,4.3,137,0,4.5
Annunziata Barolo Riserva,4.4,138,0,4.5
Aphrodite,4.4,367,0,0.0
Aquilon Garnacha,4.6,1343,0,4.6
Arborina Barolo,4.4,2527,0,2.25
Arché,4.4,429,0,4.5
Ares,4.4,1995,0,4.5
Asili Barbaresco Vecchie Viti,4.4,668,1,0.0
Aszú 6 Puttonyos Tokaj,4.6,54,0,0.0
Aszú 6 puttonyos,4.5,2450,0,4.4
Aszú Eszencia,4.5,283,0,0.0
Attunga 1865 Shiraz,4.4,371,0,0.0
Au Paradis Cabernet Sauvignon,4.6,3004,0,4.5
Avizoise Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize',4.4,1278,1,0.0
B Bordicon Blend,4.3,1088,0,4.5
Baffonero Maremma Toscana,4.5,1682,0,2.25
Barbaresco,4.5,24516,0,4.54375
Barbaresco Albesani,4.5,183,0,4.5
Barbaresco Asili,4.4,710,0,0.0
Barbaresco Gaiun Martinenga,4.3,2298,0,4.4
Barbaresco Rabajà,4.3,5469,0,4.5
