Wines,Reviews,Rating,Keywords_count
25 anni Montefalco Sagrantino,5419,4.3,1
5 Stelle Sfursat,10740,4.5,1
50 & 50,9157,4.4,1
6 Anime Puglia Rosso,2476,4.3,1
60 Sessantanni Old Vines Primitivo di Manduria,94289,4.5,1
80 Vecchie Vigne Primitivo di Manduria Old Vines,2476,4.4,1
ARTEMIS Cabernet Sauvignon,81351,4.4,2
Aconcagua Valley,18482,4.5,1
Ai Suma Barbera d'Asti,3012,4.4,1
Alexander Valley Cabernet Sauvignon,46066,4.4,1
Almaviva,48075,4.6,1
Altagracia Cabernet Sauvignon,3083,4.4,1
Altero Brunello di Montalcino,4620,4.4,1
Amarone della Valpolicella,2680,4.4,1
Amarone della Valpolicella Classico,8900,4.7,1
Amarone della Valpolicella Classico Riserva (Sergio Zenato),9963,4.5,1
Amarone della Valpolicella Monte Lodoletta,7947,4.7,1
Amarone della Valpolicella Vigna Garzon,4227,4.4,1
Amour de Deutz Millésimé Brut Champagne,5532,4.5,1
Ares,1995,4.4,1
Avizoise Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize',1278,4.4,1
Barbaresco,24516,4.5,1
Barbaresco Rabajà,5469,4.3,1
Barolo Bricco Rocche,2923,4.4,1
Barolo Brunate,4295,4.3,1
Barolo Cascina Francia,6045,4.5,1
Barolo Ciabot Mentin Ginestra,3525,4.3,1
Barolo Ginestra Casa Maté,4116,4.4,1
Barolo Le Vigne,5026,4.3,1
Barolo Monprivato,6966,4.4,1
Barolo Prapò,2450,4.3,1
Barolo Riserva,12663,4.3,1
Barolo Riserva Bricco Boschis Vigna San Giuseppe,4030,4.3,1
Barolo Sorì Ginestra,4827,4.3,1
Barón de Chirel Rioja Reserva,8578,4.4,1
Belle Epoque Brut Champagne,20992,4.5,2
Bibbona,5981,4.5,1
Blanc de Blancs Brut Champagne (Vintage),6400,4.3,1
Blanc de Blancs Brut Champagne Grand Cru,5553,4.4,1
Blanc des Millénaires,5581,4.6,2
Blueline Estate Cabernet Sauvignon,1321,4.5,1
Boal Madeira,1023,4.5,1
Bolgheri Superiore,47939,4.6,2
Bolgheri Superiore Sondraia,12843,4.2,1
Bramare Malbec Uco Valley,19752,4.4,1
Bric Dël Fiasc Barolo,4947,4.3,1
Bricco dell'Uccellone Barbera d'Asti,17625,4.3,1
Brunello di Montalcino,27452,4.5,1
Brunello di Montalcino  Montosoli,6176,4.4,1
Brunello di Montalcino Riserva,3375,4.6,1
Brunello di Montalcino Riserva Madonna del Piano,3506,4.5,1
Brunello di Montalcino Riserva Vigna Paganelli,7123,4.3,1
Brut Champagne,146377,4.6,2
Brut Cuvée Champagne Rosé,36681,4.4,1
Brut Rosé Champagne,23241,4.4,1
CASK 23 Cabernet Sauvignon,9464,4.6,1
Cabernet Sauvignon,3087,4.5,3
Cabernet Sauvignon (Signature),13730,4.6,1
Calcarole Amarone della Valpolicella Classico,2757,4.6,1
Campo Inferi Amarone della Valpolicella Classico Riserva,2112,4.6,1
Campo León Amarone della Valpolicella,7778,4.4,1
Campo dei Gigli Amarone della Valpolicella,5050,4.4,1
Campo del Titari Amarone della Valpolicella Classico Riserva,2946,4.6,1
Campolongo di Torbe Amarone della Valpolicella Classico,4392,4.5,1
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,4229,4.3,1
Castello della Sala Cervaro della Sala,30203,4.4,1
Castillo Ygay Gran Reserva Especial Tinto,23170,4.5,1
Ca’ del Merlo Rosso Veneto,2198,4.5,1
Cepparello Red,12191,4.3,1
Cerretalto Brunello di Montalcino,5373,4.7,1
Champagne,1021,4.5,1
Chardonnay,18694,4.3,1
Chateau Buena Vista Cabernet Sauvignon Napa Valley,13415,4.3,1
Château Margaux (Premier Grand Cru Classé),45350,4.6,2
Châteauneuf-du-Pape,38998,4.4,1
Cirsion Rioja,3474,4.6,1
Clio,24553,4.5,1
Clos Apalta,23256,4.6,1
Clos Sainte Hune Riesling Alsace,4106,4.5,2
Clos de Tart Grand Cru Monopole,4948,4.5,1
Clos des Goisses Champagne,4662,4.5,1
Clos des Lambrays Grand Cru,6431,4.4,1
Colheita Port,8039,4.2,1
Comtes de Champagne Blanc de Blancs,27449,4.5,2
Conteisa Langhe,2295,4.5,1
Continuum Estate,6949,4.6,1
Corton-Charlemagne Grand Cru,10296,4.4,1
Cos d'Estournel,43704,4.4,2
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,5016,4.5,1
Costa Russi (Barbaresco) Langhe,2876,4.6,1
Costasera Amarone della Valpolicella Classico,93397,4.3,1
Cristal Brut Champagne (Millésimé),42456,4.6,2
Cuvée Nicolas François Billecart Brut Champagne,6228,4.5,1
Cuvée des Enchanteleurs Brut Champagne,1732,4.5,1
Côte-Rôtie,7177,4.4,2
Côte-Rôtie La Landonne,4068,4.6,2
Côte-Rôtie La Mouline,4380,4.6,1
Côte-Rôtie La Turque,4891,4.6,1
Côtes de Bourg,8249,4.4,1
Dagromis Barolo,20685,4.3,1
Dalmau Rioja,7868,4.4,1
Dom Ruinart Blanc de Blancs Brut Champagne,18466,4.5,2
Domaine des Tourettes Hermitage Rouge,3806,4.3,1
Dominus (Christian Moueix),22117,4.5,1
Domus Aurea Cabernet Sauvignon,9603,4.4,1
Don PX Convento Selección,1224,4.7,1
Douro Pintas Tinto,4167,4.5,1
Duemani Cabernet Franc,2339,4.4,1
Eight Years In The Desert,27195,4.4,1
Evenstad Reserve Pinot Noir,11531,4.4,1
FAY Cabernet Sauvignon,10840,4.5,1
Finca Altamira Malbec,8093,4.5,1
Flaccianello della Pieve,21518,4.5,1
Flor de Pingus,32932,4.5,1
Fusion V,12877,4.4,1
Galatrona,7971,4.3,1
Gaudium,7414,4.3,1
Georges De Latour Private Reserve Cabernet Sauvignon,12652,4.4,1
Giramonte Toscana,1678,4.4,1
Gold Series Syrah,477,4.4,1
Gran Corte (VII),15016,4.4,1
Gran Enemigo,18739,4.5,1
Gran Reserva 890,11347,4.5,1
Gran Reserva Rioja (Finca Ygay),9595,4.3,1
Grand Siècle Champagne (Grande Cuvée),9824,4.5,1
Grand Vin Pauillac (Premier Grand Cru Classé),38521,4.6,2
Grand Vin de Château Palmer (Grand Cru Classé),29026,4.5,2
Grande Cuvée,28513,4.6,2
Grange,24356,4.7,1
Guerriero della Terra,10185,4.4,1
Harlan Estate Red,7231,4.7,1
Harlequin,1276,4.7,1
Hermitage La Chapelle Rouge,15298,4.3,2
Hommage à Jacques Perrin Châteauneuf-du-Pape,6121,4.5,1
Howell Mountain Cabernet Sauvignon,6466,4.5,1
IX Estate Red,2810,4.7,1
