Wines,Country,Reviews,Rating
Vin Santo di Montepulciano,Italie,773,4.6
St. Henri Shiraz,Australie,17326,4.4
Siepi,Italie,8129,4.4
Solare Toscana,Italie,4961,4.2
Tenuta Tignanello 'Solaia',Italie,33143,4.6
Tignanello,Italie,142513,4.5
Tenuta Guado al Tasso Bolgheri Superiore,Italie,33392,4.5
Pian delle Vigne Brunello di Montalcino,Italie,31363,4.3
Castello della Sala Cervaro della Sala,Italie,30203,4.4
Castello della Sala Muffato della Sala,Italie,6356,4.3
Chardonnay,États-Unis,18694,4.3
Amarone della Valpolicella Classico,Italie,18720,4.4
Nicolás Catena Zapata,Argentine,28227,4.4
Malbec Argentino,Argentine,47435,4.4
Alàuda,Italie,670,4.5
Rioja 150 Aniversario,Espagne,4642,4.2
Puligny-Montrachet 1er Cru 'La Garenne',France,442,4.4
Monte Bello,États-Unis,11978,4.5
Cabernet Sauvignon (Signature),États-Unis,13730,4.6
Merlot (Signature),États-Unis,2312,4.3
Pauillac (Premier Grand Cru Classé),France,39283,4.6
Almaviva,Chili,48075,4.6
Mille E Una Notte,Italie,15865,4.3
Overture,États-Unis,16804,4.5
Sassicaia,Italie,107646,4.6
Rutherford,États-Unis,16322,4.6
Chateau Buena Vista Cabernet Sauvignon Napa Valley,États-Unis,13415,4.3
Relentless,États-Unis,6633,4.5
Pavillon Rouge du Château Margaux,France,16401,4.4
Aphrodite,Australie,367,4.4
Les Pavots,États-Unis,4010,4.6
Toscana Batar,Italie,4187,4.3
Toscana Camartina,Italie,3673,4.3
Papillon,États-Unis,30682,4.5
Amarone della Valpolicella Classico,Italie,77515,4.3
Barolo Bricco Rocche,Italie,2923,4.4
Barolo Prapò,Italie,2450,4.3
Barolo Brunate,Italie,4295,4.3
Corton-Charlemagne Grand Cru,France,5755,4.4
Romanée-Saint-Vivant Grand Cru Les Quatre Journaux,France,731,4.4
Torre Muga,Espagne,8767,4.4
Gran Reserva Ribera del Duero,Espagne,2777,4.5
Gran Reserva 890,Espagne,11347,4.5
IX Estate Red,États-Unis,2810,4.7
Lot 1,États-Unis,226,4.4
Amarone della Valpolicella Classico,Italie,27794,4.3
Brut Cuvée Champagne Rosé,France,36681,4.4
Barolo Bricco Gattera,Italie,2365,4.4
Barolo Enrico VI,Italie,3107,4.4
Grand Vin de Château Palmer (Grand Cru Classé),France,29026,4.5
Brunello di Montalcino,Italie,25989,4.4
Pietradonice,Italie,2266,4.3
Tenuta Nuova Brunello di Montalcino,Italie,20934,4.5
Dominus (Christian Moueix),États-Unis,22117,4.5
La Muse,États-Unis,1948,4.5
La Joie,États-Unis,2285,4.6
Le Désir,États-Unis,1694,4.5
Brunello di Montalcino,Italie,9171,4.4
Altero Brunello di Montalcino,Italie,4620,4.4
Brunello di Montalcino Riserva,Italie,1875,4.5
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,22896,4.6
The Stork,Afrique du Sud,1638,4.5
Hermitage La Chapelle Rouge,France,15298,4.3
Castillo Ygay Gran Reserva Especial Tinto,Espagne,23170,4.5
Puligny-Montrachet Enseignères,France,941,4.3
Malleolus,Espagne,34630,4.3
Malleolus de Sanchomartin,Espagne,3655,4.6
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,Italie,4229,4.3
Toscana I Sodi di San Niccolo,Italie,8853,4.4
60 Sessantanni Old Vines Primitivo di Manduria,Italie,94289,4.5
Falletto Barolo,Italie,1760,4.4
Campo dei Gigli Amarone della Valpolicella,Italie,5050,4.4
Ribera del Duero Prestigio,Espagne,2994,4.4
Ribera del Duero Reserva,Espagne,37394,4.3
Amarone della Valpolicella Classico,Italie,48329,4.4
Clos Apalta,Chili,23256,4.6
Barolo Rocche,Italie,1615,4.4
Montepulciano d'Abruzzo,Italie,10110,4.2
Brunello di Montalcino Riserva,Italie,987,4.4
Pauillac (Grand Cru Classé),France,47234,4.4
Saint-Emilion Grand Cru (Premier Grand Cru Classé),France,1986,4.4
Les Bessards Hermitage,France,1515,4.4
Félix Callejo (Viñedos de la Familia),Espagne,1341,4.3
Bricco dell'Uccellone Barbera d'Asti,Italie,17625,4.3
Vürsù Barbaresco Starderi,Italie,4414,4.4
Vürsù Barbaresco Valeirano,Italie,3263,4.4
Blanc de Blancs Brut Champagne Grand Cru,France,5553,4.4
Series C,Afrique du Sud,3027,4.5
Series M,Afrique du Sud,2995,4.4
Paleo Rosso,Italie,10940,4.4
Messorio,Italie,5514,4.5
Scrio,Italie,2322,4.3
Malbec,Argentine,33640,4.2
Montrachet Grand Cru Blanc,France,700,4.5
Musigny Grand Cru,France,739,4.6
Clos Saint Denis Grand Cru,France,474,4.4
Cabernet Sauvignon,États-Unis,28544,4.4
Insignia,États-Unis,30674,4.6
Barolo Sorì Ginestra,Italie,4827,4.3
Barolo Ginestra Vigna del Gris,Italie,3333,4.3
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,24916,4.4
Barsac (Premier Grand Cru Classé),France,6028,4.4
Galatrona,Italie,7971,4.3
Brunello di Montalcino,Italie,7929,4.3
Pessac-Léognan (Grand Cru Classé de Graves),France,25444,4.3
Chloe Chardonnay,États-Unis,458,4.5
Finn Pinot Noir,États-Unis,331,4.5
Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe,France,2077,4.4
Châteauneuf-du-Pape,France,13917,4.2
1694 Classification Red,Afrique du Sud,1841,4.5
Altura,Chili,2733,4.5
Pomerol,France,11645,4.2
Cirsion Rioja,Espagne,3474,4.6
Chardonnay,Afrique du Sud,1031,4.4
La Grande Année Brut Champagne,France,24646,4.5
Big'd Big Barolo,Italie,1148,4.4
Vigna Cappella di S. Stefano Perno Barolo,Italie,2514,4.4
Amarone della Valpolicella,Italie,4689,4.3
